run_name,Loss/average,Loss/batch,Rules/anyvalid,Rules/anyvalid_cnt,Rules/c2,Rules/c2_cnt,Rules/c3,Rules/c3_cnt,Speed/steps_per_sec,full_name,step,step/epoch
085-uncond-DiT_S_1-stream0_16M,0.09445329010486603,0.0895802304148674,0.7379557490348816,4534.0,0.11181640625,229.0,0.595703125,1220.0,18.965295791625977,085-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_20240711-0204/tensorboard_logs,1000000,1000000
086-uncond-DiT_S_1-stream1_6M,0.09423724561929703,0.0982481837272644,0.7928059697151184,4871.0,0.11767578125,241.0,0.650390625,1332.0,18.855453491210938,086-RAVEN10_abstract-uncond-DiT_S_1-stream1_6M_20240711-0204/tensorboard_logs,1000000,1000000
087-uncond-DiT_S_1-stream16M,0.09461955726146698,0.09818854928016663,0.78076171875,4797.0,0.12255859375,251.0,0.6337890625,1298.0,16.748565673828125,087-RAVEN10_abstract-uncond-DiT_S_1-stream16M_20240711-0204/tensorboard_logs,1000000,1000000
088-uncond-DiT_S_1-stream16M_heldout0,0.09524444490671158,0.09697872400283813,0.7784830927848816,4783.0,0.1201171875,246.0,0.63623046875,1303.0,19.27801513671875,088-RAVEN10_abstract-uncond-DiT_S_1-stream16M_heldout0_20240711-0204/tensorboard_logs,1000000,1000000
089-uncond-DiT_S_1-stream1_6M_heldout0,0.09617428481578827,0.09592925012111664,0.7654622197151184,4703.0,0.1259765625,258.0,0.6083984375,1246.0,19.268356323242188,089-RAVEN10_abstract-uncond-DiT_S_1-stream1_6M_heldout0_20240711-0204/tensorboard_logs,1000000,1000000
090-uncond-DiT_S_1-stream0_16M_heldout0,0.09553380310535431,0.09475740790367126,0.7347005009651184,4514.0,0.14208984375,291.0,0.5712890625,1170.0,18.949668884277344,090-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout0_20240711-0204/tensorboard_logs,1000000,1000000
091-uncond-DiT_B_1-stream16M,0.09384877234697342,0.0947619378566742,0.7540690302848816,4633.0,0.125,256.0,0.60302734375,1235.0,8.272855758666992,091-RAVEN10_abstract-uncond-DiT_B_1-stream16M_20240711-0205/tensorboard_logs,1000000,1000000
092-uncond-DiT_B_1-stream1_6M,0.09444615989923477,0.0922890156507492,0.7718098759651184,4742.0,0.107421875,220.0,0.64306640625,1317.0,8.720460891723633,092-RAVEN10_abstract-uncond-DiT_B_1-stream1_6M_20240711-0205/tensorboard_logs,1000000,1000000
093-uncond-DiT_B_1-stream1_6M_heldout0,0.09562339633703232,0.09811687469482422,0.7989909052848816,4909.0,0.138671875,284.0,0.65185546875,1335.0,8.789844512939453,093-RAVEN10_abstract-uncond-DiT_B_1-stream1_6M_heldout0_20240711-0205/tensorboard_logs,1000000,1000000
094-uncond-DiT_B_1-stream0_16M_heldout0,0.09358954429626465,0.10050363838672638,0.72802734375,4473.0,0.1416015625,290.0,0.55224609375,1131.0,8.746782302856445,094-RAVEN10_abstract-uncond-DiT_B_1-stream0_16M_heldout0_20240711-0205/tensorboard_logs,1000000,1000000
095-uncond-DiT_B_1-stream16M_heldout0,0.09606223553419113,0.09631674736738205,0.75634765625,4647.0,0.14111328125,289.0,0.5947265625,1218.0,8.739494323730469,095-RAVEN10_abstract-uncond-DiT_B_1-stream16M_heldout0_20240711-0205/tensorboard_logs,1000000,1000000
096-uncond-DiT_B_1-stream0_16M,0.09365643560886383,0.08974308520555496,0.7566731572151184,4649.0,0.13037109375,267.0,0.60400390625,1237.0,8.781941413879395,096-RAVEN10_abstract-uncond-DiT_B_1-stream0_16M_20240711-0205/tensorboard_logs,1000000,1000000
097-uncond-DiT_S_1-stream0_016M,0.03914491832256317,0.04061633720993996,0.4339192807674408,2666.0,0.0888671875,182.0,0.02490234375,51.0,16.06009292602539,097-RAVEN10_abstract-uncond-DiT_S_1-stream0_016M_20240816-0049/tensorboard_logs,1000000,1000000
098-uncond-DiT_S_1-stream0_016M_heldout0,0.03514013811945915,0.03740204498171806,0.4248046875,2610.0,0.0625,128.0,0.00244140625,5.0,16.11100959777832,098-RAVEN10_abstract-uncond-DiT_S_1-stream0_016M_heldout0_20240816-0050/tensorboard_logs,1000000,1000000
101-uncond-DiT_B_1-stream0_016M_heldout0,0.021369701251387596,0.022779390215873718,0.392578125,2412.0,0.06396484375,131.0,0.0380859375,78.0,8.027857780456543,101-RAVEN10_abstract-uncond-DiT_B_1-stream0_016M_heldout0_20240921-1650/tensorboard_logs,1000000,1000000
102-uncond-DiT_B_1-stream0_016M,0.022106043994426727,0.022710051387548447,0.4498697817325592,2764.0,0.08837890625,181.0,0.0341796875,70.0,8.048325538635254,102-RAVEN10_abstract-uncond-DiT_B_1-stream0_016M_20240921-1651/tensorboard_logs,1000000,1000000
103-uncond-DiT_S_1-stream0_16M_heldout012345,0.08398615568876266,0.08780783414840698,0.57763671875,3549.0,0.23046875,472.0,0.25390625,520.0,17.643386840820312,103-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout012345_20241113-0052/tensorboard_logs,1000000,1000000
104-uncond-DiT_S_1-stream0_16M_heldout01,0.09647687524557114,0.09825454652309418,0.7399088740348816,4546.0,0.1435546875,294.0,0.57275390625,1173.0,19.119712829589844,104-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout01_20241113-0052/tensorboard_logs,1000000,1000000
104-uncond-DiT_S_1-stream0_16M_heldout012,0.09647347033023834,0.09853581339120865,0.72509765625,4455.0,0.13818359375,283.0,0.5419921875,1110.0,17.464832305908203,104-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout012_20241113-0052/tensorboard_logs,1000000,1000000
105-uncond-DiT_S_1-stream0_16M_heldout0,0.09558077901601791,0.0947921946644783,0.7431640625,4566.0,0.1279296875,262.0,0.5908203125,1210.0,19.303691864013672,105-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout0_20241113-0052/tensorboard_logs,1000000,1000000
