run_name,Loss/average,Loss/batch,Rules/anyvalid,Rules/anyvalid_cnt,Rules/c2,Rules/c2_cnt,Rules/c3,Rules/c3_cnt,Speed/steps_per_sec,full_name,step,step/epoch,Loss/average_std,Loss/batch_std,Rules/anyvalid_std,Rules/anyvalid_cnt_std,Rules/c2_std,Rules/c2_cnt_std,Rules/c3_std,Rules/c3_cnt_std,Speed/steps_per_sec_std
085-uncond-DiT_S_1-stream0_16M,0.09424979090690613,0.09311917871236801,0.7538736939430237,4631.8,0.12294921875,251.8,0.6029296875,1234.8,18.91179847717285,085-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_20240711-0204/tensorboard_logs,1000000,977500,0.0007867865677440055,0.007092439330596343,0.023433464430389277,143.97515217718814,0.01071453195117387,21.943361436004086,0.026732178325863915,54.7475012113693,0.5202980717826972
086-uncond-DiT_S_1-stream1_6M,0.09453394189476967,0.09458576440811158,0.7676920592784882,4716.7,0.135107421875,276.7,0.6130859375,1255.6,19.068165969848632,086-RAVEN10_abstract-uncond-DiT_S_1-stream1_6M_20240711-0204/tensorboard_logs,1000000,977500,0.0007377583893953537,0.005964663147508042,0.027885131322727498,171.32623201885275,0.01106543424094114,22.662009325447453,0.03858087967718701,79.013641578879,0.07494847872459746
087-uncond-DiT_S_1-stream16M,0.09452017173171043,0.09565008580684661,0.7829101502895355,4810.2,0.130810546875,267.9,0.631982421875,1294.3,18.94630126953125,087-RAVEN10_abstract-uncond-DiT_S_1-stream16M_20240711-0204/tensorboard_logs,1000000,977500,0.0006674456508553289,0.004045640649179362,0.015261877576243662,93.76898326324242,0.00875418063608538,17.92856194270286,0.015125426315310577,30.976873093756062,0.7750898388527083
088-uncond-DiT_S_1-stream16M_heldout0,0.09596417471766472,0.09675496071577072,0.7685221374034882,4721.8,0.125732421875,257.5,0.6197265625,1269.2,19.285515975952148,088-RAVEN10_abstract-uncond-DiT_S_1-stream16M_heldout0_20240711-0204/tensorboard_logs,1000000,977500,0.0006065205062840316,0.005438848940689365,0.02606785682738828,160.16089132841117,0.009618713748107015,19.699125756123166,0.03472698602846029,71.12086738628668,0.0048743028298734265
089-uncond-DiT_S_1-stream1_6M_heldout0,0.09612376838922501,0.09714384526014327,0.7591959595680237,4664.5,0.13544921875,277.4,0.602392578125,1233.7,19.265524482727052,089-RAVEN10_abstract-uncond-DiT_S_1-stream1_6M_heldout0_20240711-0204/tensorboard_logs,1000000,977500,0.0005909557255188785,0.005564718890996745,0.0161199912957383,99.04123720282715,0.010710575329195837,21.935258274193075,0.020436707606040497,41.85437717717094,0.018284594083388065
090-uncond-DiT_S_1-stream0_16M_heldout0,0.09582015722990037,0.09728489965200424,0.747509765625,4592.7,0.134716796875,275.9,0.5853515625,1198.8,18.690333747863768,090-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout0_20240711-0204/tensorboard_logs,1000000,977500,0.0006673603207270444,0.003613846710750928,0.014642625055854699,89.96425215977,0.004819742409139957,9.870832453918633,0.0171243760737035,35.070722198944765,0.6763097024058105
091-uncond-DiT_B_1-stream16M,0.0945284090936184,0.09550471156835556,0.7890950620174408,4848.2,0.122607421875,251.1,0.646923828125,1324.9,8.740444469451905,091-RAVEN10_abstract-uncond-DiT_B_1-stream16M_20240711-0205/tensorboard_logs,1000000,977500,0.0007500599478458451,0.0039606443043966,0.02318544063016297,142.4513952195625,0.008760230728819091,17.9409525326215,0.031695642766458615,64.91267638570724,0.16437925681251703
092-uncond-DiT_B_1-stream1_6M,0.09459377527236938,0.09238867461681366,0.7770670652389526,4774.3,0.1212890625,248.4,0.638916015625,1308.5,8.75305633544922,092-RAVEN10_abstract-uncond-DiT_B_1-stream1_6M_20240711-0205/tensorboard_logs,1000000,977500,0.0005683971694896688,0.004283587070389023,0.01843565714699988,113.26865801663267,0.012075462847382519,24.7305479114394,0.025911386767724656,53.066520100300096,0.014044079631230921
093-uncond-DiT_B_1-stream1_6M_heldout0,0.09582634344696998,0.09692268297076226,0.7832194030284881,4812.1,0.12861328125,263.4,0.63837890625,1307.4,8.790528488159179,093-RAVEN10_abstract-uncond-DiT_B_1-stream1_6M_heldout0_20240711-0205/tensorboard_logs,1000000,977500,0.0006487732563635449,0.005121667897608928,0.02433949567477386,149.5418559021744,0.010031113435813234,20.543720316545503,0.03394731276471398,69.52409654213423,0.004066374685049455
094-uncond-DiT_B_1-stream0_16M_heldout0,0.09408358260989189,0.09312809407711028,0.7582193970680237,4658.5,0.143603515625,294.1,0.589892578125,1208.1,8.663705444335937,094-RAVEN10_abstract-uncond-DiT_B_1-stream0_16M_heldout0_20240711-0205/tensorboard_logs,1000000,977500,0.0006435364715871473,0.0064020510199790425,0.023882775008174914,146.73577917089244,0.00468031721454721,9.585289655392685,0.030356846691293276,62.17082202376863,0.1705841030137918
095-uncond-DiT_B_1-stream16M_heldout0,0.09599151238799095,0.09658455029129982,0.77587890625,4767.0,0.129052734375,264.3,0.626513671875,1283.1,8.746609306335449,095-RAVEN10_abstract-uncond-DiT_B_1-stream16M_heldout0_20240711-0205/tensorboard_logs,1000000,977500,0.0005426942552515946,0.005411082447041735,0.022988752147223956,141.2428955932142,0.00997510247768791,20.42900987430484,0.03373458478865422,69.08842964716385,0.009261238610504827
096-uncond-DiT_B_1-stream0_16M,0.0935287468135357,0.09339323863387108,0.7647786378860474,4698.8,0.131591796875,269.5,0.611181640625,1251.7,8.753634262084962,096-RAVEN10_abstract-uncond-DiT_B_1-stream0_16M_20240711-0205/tensorboard_logs,1000000,977500,0.0005564464665746039,0.004314648422154415,0.013980525967438935,85.8963199315184,0.007645409623410185,15.65779890874406,0.01768337810102016,36.21555835088929,0.12681884822035297
097-uncond-DiT_S_1-stream0_016M,0.03913989402353764,0.04080286882817745,0.4282063841819763,2630.9,0.09091796875,186.2,0.018896484375,38.7,16.494749450683592,097-RAVEN10_abstract-uncond-DiT_S_1-stream0_016M_20240816-0049/tensorboard_logs,1000000,977500,0.00041709242471579973,0.002794743093718501,0.007785124531098866,47.831765363383546,0.007397277404500384,15.149624124416787,0.004451727991913538,9.117138927438926,0.70081770120925
098-uncond-DiT_S_1-stream0_016M_heldout0,0.03515043295919895,0.03705849424004555,0.41463215947151183,2547.5,0.06171875,126.4,0.003857421875,7.9,16.212174129486083,098-RAVEN10_abstract-uncond-DiT_S_1-stream0_016M_heldout0_20240816-0050/tensorboard_logs,1000000,977500,0.000302257467287844,0.00268284678591954,0.013211642415272406,81.17231328750248,0.006275042062511194,12.851286144022925,0.0015172553628152888,3.1073389830457114,0.4628162419986477
101-uncond-DiT_B_1-stream0_016M_heldout0,0.021563833765685558,0.022078477032482623,0.3964355498552322,2435.7,0.06845703125,140.2,0.032421875,66.4,8.084680271148681,101-RAVEN10_abstract-uncond-DiT_B_1-stream0_016M_heldout0_20240921-1650/tensorboard_logs,1000000,977500,0.00023408409057268977,0.002237804361971496,0.011864043034166797,72.89269129648359,0.006286008737116021,12.873745893613611,0.003596968384521164,7.366591251499344,0.10795580595483271
102-uncond-DiT_B_1-stream0_016M,0.022521043382585048,0.023305179551243782,0.4376953125,2689.2,0.07958984375,163.0,0.026025390625,53.3,8.148534870147705,102-RAVEN10_abstract-uncond-DiT_B_1-stream0_016M_20240921-1651/tensorboard_logs,1000000,977500,0.0002910632187278527,0.002464503600621081,0.00884774064628897,54.36052489322249,0.00847605245201272,17.35895542172205,0.004493189897974005,9.202052911050762,0.17050665579967986
103-uncond-DiT_S_1-stream0_16M_heldout012345,0.08445605337619781,0.08514484614133835,0.6111165344715118,3754.7,0.23369140625,478.6,0.286865234375,587.5,18.404565238952635,103-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout012345_20241113-0052/tensorboard_logs,1000000,977500,0.0006301864052963202,0.004153786688598984,0.020364644864911147,125.1204308745068,0.013645109589386962,27.945184439064498,0.01855932701955203,38.00950173604256,0.8668075783958867
104-uncond-DiT_S_1-stream0_16M_heldout01,0.0966562032699585,0.09561671987175942,0.7438313901424408,4570.1,0.13291015625,272.2,0.58134765625,1190.6,18.88370590209961,104-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout01_20241113-0052/tensorboard_logs,1000000,977500,0.0007806943463613183,0.006426413881790379,0.01830577020585407,112.47068753926752,0.010677381061651798,21.867276414262882,0.023208288552259888,47.53057495502825,0.7199867601989721
104-uncond-DiT_S_1-stream0_16M_heldout012,0.09660361260175705,0.09684039801359176,0.7413574159145355,4554.9,0.14970703125,306.6,0.548291015625,1122.9,18.67784900665283,104-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout012_20241113-0052/tensorboard_logs,1000000,977500,0.0005574830145446359,0.00601096897637025,0.02945933069717181,180.9981276760127,0.006699721722493718,13.721030087667135,0.03763494582752302,77.07636905476714,0.8200121300295717
105-uncond-DiT_S_1-stream0_16M_heldout0,0.09561560079455375,0.09718252271413803,0.75693359375,4650.6,0.132177734375,270.7,0.59892578125,1226.6,18.97647171020508,105-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout0_20241113-0052/tensorboard_logs,1000000,977500,0.0005098477686618437,0.0036344499985465567,0.013699883185051533,84.17204603271408,0.006886323793091697,14.103191128251796,0.01752560150666943,35.89243188565899,0.7380960879067463
106-uncond-DiT_S_1-stream0_16M_heldout0123,0.09523428529500962,0.09516752362251282,0.7584635376930237,4660.0,0.181298828125,371.3,0.5412109375,1108.4,18.628691482543946,106-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout0123_20241113-0052/tensorboard_logs,1000000,977500,0.0007210479773884742,0.0050935022151855835,0.017861343469701085,109.74009699689942,0.009448659243101207,19.350854129871273,0.026056107649639643,53.36290846646199,0.860523190754929
106-uncond-DiT_S_1-stream0_16M_heldout01234,0.092778030782938,0.09166087433695794,0.6954589903354644,4272.9,0.209130859375,428.3,0.432666015625,886.1,18.56603298187256,106-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout01234_20241113-0052/tensorboard_logs,1000000,977500,0.000735136257475956,0.004402383231605529,0.025515799870374084,156.76908000126951,0.014803236613757572,30.317028584975507,0.026898787269530426,55.08871632799831,0.8769042818966415
107-uncond-DiT_S_1-stream0_16M_heldout_attr0,0.09141426160931587,0.09289813414216042,0.7918131589889527,4864.9,0.112646484375,230.7,0.6591796875,1350.0,18.787772750854494,107-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout_attr0_20241113-0056/tensorboard_logs,1000000,977500,0.000575834104172435,0.004594696066012678,0.018154171848422277,111.53918095848154,0.008988885162105451,18.409236811991963,0.02440863654982743,49.98888765404658,0.7500940937328421
107-uncond-DiT_S_1-stream0_16M_heldout_attr3,0.09968861117959023,0.0998927190899849,0.7444335877895355,4573.8,0.150146484375,307.5,0.563720703125,1154.5,18.763905334472657,107-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout_attr3_20241113-0056/tensorboard_logs,1000000,977500,0.000609122888330785,0.005773426989192569,0.016640487310601575,102.23915318724261,0.009733698898139267,19.93461534338922,0.02220501896100627,45.47587883214084,0.7269755282362101
107-uncond-DiT_S_1-stream0_16M_heldout_rel0,0.09489580616354942,0.09341191202402115,0.7694335877895355,4727.4,0.1388671875,284.4,0.610546875,1250.4,18.779007720947266,107-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout_rel0_20241113-0056/tensorboard_logs,1000000,977500,0.000580520668919272,0.004862685006257135,0.018990747490635847,116.67923741799325,0.00746642899816184,15.291246588235449,0.02317859201842974,47.46975645374411,0.7504145921529747
107-uncond-DiT_S_1-stream0_16M_heldout_rel3,0.09498148709535599,0.09301849231123924,0.748291015625,4597.5,0.133154296875,272.7,0.590234375,1208.8,18.719791984558107,107-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout_rel3_20241113-0056/tensorboard_logs,1000000,977500,0.0006580985449179989,0.0048118780050996224,0.020218903031966128,124.22493040180528,0.00891193171480669,18.2516361519241,0.024131173564450936,49.42064345999552,0.7370291844893784
108-uncond-DiT_S_1-stream0_16M_heldout_rel5,0.0954486757516861,0.0938333012163639,0.7553059816360473,4640.6,0.1287109375,263.6,0.595458984375,1219.5,18.75464973449707,108-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout_rel5_20241113-0057/tensorboard_logs,1000000,977500,0.0005454307075049978,0.004187199060536859,0.022206748479504896,136.43818299060484,0.008429669800980285,17.263963752407623,0.027695348082296727,56.720072872543696,0.7420858447251559
108-uncond-DiT_S_1-stream0_16M_heldout_rel8,0.09160154908895493,0.0900711640715599,0.8037109375,4938.0,0.11904296875,243.8,0.6744140625,1381.2,18.865237998962403,108-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout_rel8_20241113-0057/tensorboard_logs,1000000,977500,0.0006243068009630552,0.004411896381901519,0.019014890280854634,116.82750817622822,0.010484601067172772,21.472462985569837,0.02725816684797621,55.82472570465528,0.7184995080094989
109-uncond-DiT_S_1-stream0_16M_heldout0_rep,0.09556939601898193,0.09699043110013009,0.7554524779319763,4641.5,0.1390625,284.8,0.591259765625,1210.9,18.700515365600587,109-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout0_rep_20241114-1600/tensorboard_logs,1000000,977500,0.0005060128799994891,0.003827414626959497,0.016580847762279676,101.87274196543207,0.009832669165644037,20.137306451238988,0.021854124250392053,44.757246464802925,0.701583082480628
110-uncond-DiT_B_1-stream0_16M_heldout0_rep,0.09408358260989189,0.09312809407711028,0.7582193970680237,4658.5,0.143603515625,294.1,0.589892578125,1208.1,8.737408351898193,110-RAVEN10_abstract-uncond-DiT_B_1-stream0_16M_heldout0_rep_20241114-1600/tensorboard_logs,1000000,977500,0.0006435364715871473,0.0064020510199790425,0.023882775008174914,146.73577917089244,0.00468031721454721,9.585289655392685,0.030356846691293276,62.17082202376863,0.16345063082678735
111-uncond-DiT_B_1-stream0_16M_heldout0_rep,0.09408358260989189,0.09312809407711028,0.7582193970680237,4658.5,0.143603515625,294.1,0.589892578125,1208.1,8.686509990692139,111-RAVEN10_abstract-uncond-DiT_B_1-stream0_16M_heldout0_rep_20241114-1601/tensorboard_logs,1000000,977500,0.0006435364715871473,0.0064020510199790425,0.023882775008174914,146.73577917089244,0.00468031721454721,9.585289655392685,0.030356846691293276,62.17082202376863,0.16261404019313616
111-uncond-DiT_S_1-stream0_16M_heldout0_rep,0.09569905176758767,0.09729876443743705,0.7494140684604644,4604.4,0.13330078125,273.0,0.58994140625,1208.2,18.79751796722412,111-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout0_rep_20241114-1601/tensorboard_logs,1000000,977500,0.0005297093254323864,0.0035808036110889646,0.013683323501956031,84.07034091891272,0.006076873275584135,12.44543646839631,0.015430168219480532,31.60098451349613,0.690298850673713
112-uncond-DiT_B_1-stream0_16M_heldout0_rep,0.09408358260989189,0.09312809407711028,0.7582193970680237,4658.5,0.143603515625,294.1,0.589892578125,1208.1,8.70261754989624,112-RAVEN10_abstract-uncond-DiT_B_1-stream0_16M_heldout0_rep_20241114-1601/tensorboard_logs,1000000,977500,0.0006435364715871473,0.0064020510199790425,0.023882775008174914,146.73577917089244,0.00468031721454721,9.585289655392685,0.030356846691293276,62.17082202376863,0.17252982092141594
113-uncond-DiT_S_1-stream0_16M_heldout0_rep,0.09564541652798653,0.09702655002474785,0.7529785096645355,4626.3,0.135546875,277.6,0.59033203125,1209.0,18.786557960510255,113-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout0_rep_20241114-1601/tensorboard_logs,1000000,977500,0.0004959136627665192,0.0037339154575043404,0.01735450003875487,106.62608603068132,0.008232524202977124,16.86020956769715,0.020247814505317673,41.46752410689059,0.7137614847404562
114-uncond-DiT_S_1-stream0_16M_heldout_rel012,0.09685560911893845,0.09621732011437416,0.7210286498069763,4430.0,0.167333984375,342.7,0.520556640625,1066.1,17.956053733825684,114-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout_rel012_20241116-0330/tensorboard_logs,1000000,977500,0.0006867620071005123,0.007423780723544866,0.026750097629380458,164.3526019805521,0.008587983633974084,17.588190482378923,0.032284422031019964,66.11849631952889,2.4327522237459465
114-uncond-DiT_S_1-stream0_16M_heldout_rel01234,0.09941905736923218,0.09907044619321823,0.65810546875,4043.4,0.19453125,398.4,0.410693359375,841.1,16.9261568069458,114-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout_rel01234_20241116-0330/tensorboard_logs,1000000,977500,0.0006444890868382016,0.005209387829525995,0.022535275791245625,138.45673211031186,0.011929794514227507,24.432219165137933,0.0321701635196045,65.88449488815002,2.98416093192715
114-uncond-DiT_S_1-stream0_16M_heldout_rel56,0.09641613811254501,0.09658025428652764,0.7724121153354645,4745.7,0.119287109375,244.3,0.621435546875,1272.7,18.882855033874513,114-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout_rel56_20241116-0330/tensorboard_logs,1000000,977500,0.0005287010533114186,0.007139481165915103,0.02323227200430645,142.73911711775276,0.008046523398214553,16.479279919543405,0.03169112917022741,64.90343254062573,0.7404612232579612
115-uncond-DiT_S_1-stream0_16M_heldout_rel014,0.09742872416973114,0.096955057233572,0.7172851622104645,4407.0,0.158056640625,323.7,0.52861328125,1082.6,18.869741249084473,115-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout_rel014_20241116-0330/tensorboard_logs,1000000,977500,0.0007558205112363498,0.007043913345450831,0.02947566294991619,181.0984999017571,0.008707454119868802,17.832866037491307,0.034657804285542465,70.97918317679097,0.6952334555044682
116-uncond-DiT_S_1-stream0_16M_heldout_rel1234,0.09870210215449333,0.09793143272399903,0.6962402403354645,4277.7,0.163623046875,335.1,0.49375,1011.2,18.683981513977052,116-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout_rel1234_20241116-0331/tensorboard_logs,1000000,977500,0.0008127581104235928,0.0070471211135986695,0.027620935952108676,169.70304128748614,0.008162236108257753,16.71625954971188,0.03438430814237974,70.41906307559371,0.7840807460453795
117-uncond-DiT_S_1-stream0_16M_heldout_rel0123456,0.09366426691412925,0.09398034065961838,0.4235677093267441,2602.4,0.0587890625,120.4,0.206103515625,422.1,16.885506629943848,117-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout_rel0123456_20241116-0331/tensorboard_logs,1000000,977500,0.0008148892207493206,0.004802132550690146,0.024360492601306044,149.67089823268182,0.007491223887313815,15.342026521218694,0.024275267363801346,49.71574756106516,2.3105401927745257
117-uncond-DiT_S_1-stream0_16M_heldout_rel023,0.09635879397392273,0.09598439782857895,0.7248372375965119,4453.4,0.157275390625,322.1,0.534912109375,1095.5,18.48203535079956,117-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout_rel023_20241116-0331/tensorboard_logs,1000000,977500,0.0007671527902050689,0.0077252368141950715,0.023029840237453032,141.49534739111866,0.008191393986688085,16.7759748847372,0.030553256054288797,62.573068399183455,1.500709124123367
117-uncond-DiT_S_1-stream0_16M_heldout_rel034,0.09706718176603317,0.0966017335653305,0.7271972715854644,4467.9,0.1556640625,318.8,0.5365234375,1098.8,18.278786754608156,117-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_heldout_rel034_20241116-0331/tensorboard_logs,1000000,977500,0.0007353896107197269,0.007668404543794343,0.022046610339657966,135.45433834978417,0.0034047674127585643,6.97296366132954,0.02687548575344281,55.04099482305087,1.8973888393821008
