run_name,Loss/train,Train/Avg_Loss,Val/AnyValid,Val/AnyValid_abinit,Val/Avg_Loss,Val/C2,Val/C2_abinit,Val/C3,Val/C3_abinit,lr,full_name,step,step/epoch,Loss/train_std,Train/Avg_Loss_std,Val/AnyValid_std,Val/AnyValid_abinit_std,Val/Avg_Loss_std,Val/C2_std,Val/C2_abinit_std,Val/C3_std,Val/C3_abinit_std,lr_std
GPT2CmbEmb_base_uncond_heldout0,1.5064847111701964,1.5740049481391907,0.9118333399295807,0.439990234375,9.192906475067138,0.3750000029802322,0.136962890625,0.6250000059604645,0.13330078125,3.361111047262e-08,GPT2CmbEmb_base_RAVEN_uncond_heldout0-20240701-154321/tensorboard_logs,216099,90,0.04424475280658383,0.01755101791164994,0.0017032936230718786,0.007185691705065893,0.1259236823594675,0.004570435519261229,0.006077963004504503,0.004570439141860812,0.007053368710944157,2.6418382273194683e-08
GPT2_base_cond_heldout0,1.2433221459388732,1.2816117763519288,0.9345833420753479,0.5932833313941955,9.513285827636718,0.23609999865293502,0.27590000033378603,0.7638999998569489,0.25915000438690183,3.361111047262e-08,GPT2_base_RAVEN_cond_heldout0-20240701-225339/tensorboard_logs,216099,90,0.043741203938991016,0.01873910374407359,0.0016466241503885143,0.004757750539084362,0.12928145204255703,0.004452215600509726,0.007298399201102964,0.004452220583710331,0.009580214726778708,2.6418382273194683e-08
GPT2_base_uncond_heldout0,1.4052274823188782,1.4628806114196777,0.9099500060081482,0.4711914092302322,9.299380111694337,0.37304999828338625,0.14677734375,0.6269499897956848,0.17236328125,3.361111047262e-08,GPT2_base_RAVEN_uncond_heldout0-20240630-023945/tensorboard_logs,216099,90,0.09796231529691374,0.018374154675629386,0.0012620994658581722,0.00927750265563263,0.12483273037133866,0.004349013845133772,0.007031551401719065,0.004349011027936411,0.004206656244570338,2.6418382273194683e-08
GPT2_base_uncond_heldout0_stream0_016M,0.1766405776143074,0.2242802530527115,0.8402500092983246,0.7454500019550323,27.096981811523438,0.8853999972343445,0.17550000101327895,0.11459999904036522,0.44184999763965604,1.0377037638065189e-07,GPT2_base_RAVEN_uncond_heldout0_stream0_016M-20240820-023934/tensorboard_logs,1000000,977499,0.0037494322491106193,,0.0011228582550664727,0.00480099399848102,0.03294046376357107,0.0016465509549290316,0.005661763237702414,0.0016465454243103775,0.014575565205528263,5.678257378319011e-08
GPT2_base_uncond_heldout0_stream0_016M,0.1745833471417427,,0.8346666634082794,0.6960666656494141,21.74295997619629,0.8801500022411346,0.14334999918937683,0.11984999999403953,0.3756999969482422,4.878183790424373e-05,GPT2_base_RAVEN_uncond_heldout0_stream0_016M-20240819-010518/tensorboard_logs,512499,487499,0.004884605176803076,,0.0025507134761465493,0.007591093118977406,0.13956718461326972,0.007594055684910903,0.006187129963088582,0.007594040145223849,0.011484772894120109,2.0088617763747813e-08
GPT2_base_uncond_heldout0_stream0_16M,0.8362221539020538,,0.9,0.46530000269412997,10.901768207550049,0.40725000500679015,0.1442500025033951,0.5927500009536744,0.16195000112056732,5.702215239580255e-05,GPT2_base_RAVEN_uncond_heldout0_stream0_16M-20240819-032725/tensorboard_logs,429999,404999,0.023041010649632866,,0.0020801880356896675,0.006686912385898696,0.1103919501666157,0.007079901299503794,0.008628924134409228,0.007079899662511633,0.005693319221242079,9.263832435293528e-09
GPT2_base_uncond_heldout0_stream0_16M,0.43628724813461306,1.0508310794830322,0.9050833284854889,0.5189833343029022,15.796246242523193,0.39279999434947965,0.15495000034570694,0.6072000026702881,0.233550001680851,1.0377037638065189e-07,GPT2_base_RAVEN_uncond_heldout0_stream0_16M-20240820-024013/tensorboard_logs,1000000,977499,0.01043919668964982,,0.0010722427983067128,0.007249712776502082,0.02438213546897137,0.002299756910555196,0.00775474441119538,0.00229976943750994,0.009319782297566971,5.678257378319011e-08
GPT2_base_uncond_heldout0_stream16M,3.2142202854156494,3.2110743522644043,0.9648333370685578,0.3099500000476837,3.338735342025757,0.20685000121593475,0.1464499980211258,0.7931500017642975,0.029350000061094762,1.0377037638065189e-07,GPT2_base_RAVEN_uncond_heldout0_stream16M-20240820-024031/tensorboard_logs,1000000,977499,0.08147710274933848,,0.0007817400153480363,0.004479068469970221,0.0008159859837772832,0.0025171626028710056,0.007104184237559807,0.0025171604323289574,0.002877595391670138,5.678257378319011e-08
GPT2_base_uncond_heldout0_stream16M,3.212418866157532,,0.9534666657447814,0.29523333311080935,3.2803740739822387,0.21814999878406524,0.1292000010609627,0.7818499982357026,0.026050000078976156,4.9086678336607294e-05,GPT2_base_RAVEN_uncond_heldout0_stream16M-20240819-010517/tensorboard_logs,509598,484999,0.09418208680697283,,0.0027708877533112355,0.014477352369846644,0.004322813242137577,0.00839990074150279,0.013364963306666231,0.008399899499749383,0.005861598368949193,2.090456579553529e-08
GPT2_base_uncond_heldout0_stream1_6M,3.6331822872161865,,,,,,,,,9.983413328882307e-05,GPT2_base_RAVEN_uncond_heldout0_stream1_6M-20240818-012450/tensorboard_logs,1762,1753,0.04416531878708667,,,,,,,,,3.0307369485978657e-10
