run_name,Loss/train,Train/Avg_Loss,Val/AnyValid,Val/AnyValid_abinit,Val/Avg_Loss,Val/C2,Val/C2_abinit,Val/C3,Val/C3_abinit,lr,full_name,step,step/epoch,Loss/train_std,Train/Avg_Loss_std,Val/AnyValid_std,Val/AnyValid_abinit_std,Val/Avg_Loss_std,Val/C2_std,Val/C2_abinit_std,Val/C3_std,Val/C3_abinit_std,lr_std,heldout,scale,dataset_size,uncond,Val/C23,Val/C23_abinit,model_class
GPT2CmbEmb_base_uncond_heldout0,1.5064847111701964,1.574004948139191,0.9118333399295808,0.439990234375,9.192906475067138,0.3750000029802322,0.136962890625,0.6250000059604645,0.13330078125,3.361111047262e-08,GPT2CmbEmb_base_RAVEN_uncond_heldout0-20240701-154321/tensorboard_logs,216099,90,0.0442447528065838,0.0175510179116499,0.0017032936230718,0.0071856917050658,0.1259236823594675,0.0045704355192612,0.0060779630045045,0.0045704391418608,0.0070533687109441,2.6418382273194686e-08,True,,,True,1.0000000089406966,0.270263671875,GPT2
GPT2_base_cond_heldout0,1.2433221459388732,1.2816117763519288,0.934583342075348,0.5932833313941955,9.513285827636718,0.236099998652935,0.275900000333786,0.7638999998569489,0.2591500043869018,3.361111047262e-08,GPT2_base_RAVEN_cond_heldout0-20240701-225339/tensorboard_logs,216099,90,0.043741203938991,0.0187391037440735,0.0016466241503885,0.0047577505390843,0.129281452042557,0.0044522156005097,0.0072983992011029,0.0044522205837103,0.0095802147267787,2.6418382273194686e-08,True,GPT2-B,,False,0.9999999985098839,0.5350500047206878,GPT2
GPT2_base_uncond_heldout0,1.4052274823188782,1.4628806114196775,0.9099500060081482,0.4711914092302322,9.299380111694337,0.3730499982833862,0.14677734375,0.6269499897956848,0.17236328125,3.361111047262e-08,GPT2_base_RAVEN_uncond_heldout0-20240630-023945/tensorboard_logs,216099,90,0.0979623152969137,0.0183741546756293,0.0012620994658581,0.0092775026556326,0.1248327303713386,0.0043490138451337,0.007031551401719,0.0043490110279364,0.0042066562445703,2.6418382273194686e-08,True,GPT2-B,,True,0.9999999880790711,0.319140625,GPT2
GPT2_base_uncond_heldout0_stream0_016M,0.1766405776143074,0.2242802530527115,0.8402500092983246,0.7454500019550323,27.09698181152344,0.8853999972343445,0.1755000010132789,0.1145999990403652,0.441849997639656,1.0377037638065189e-07,GPT2_base_RAVEN_uncond_heldout0_stream0_016M-20240820-023934/tensorboard_logs,1000000,977499,0.0037494322491106,,0.0011228582550664,0.004800993998481,0.032940463763571,0.001646550954929,0.0056617632377024,0.0016465454243103,0.0145755652055282,5.6782573783190114e-08,True,GPT2-B,0.016,True,0.9999999962747097,0.6173499986529349,GPT2
GPT2_base_uncond_heldout0_stream0_016M,0.1745833471417427,,0.8346666634082794,0.6960666656494141,21.74295997619629,0.8801500022411346,0.1433499991893768,0.1198499999940395,0.3756999969482422,4.878183790424373e-05,GPT2_base_RAVEN_uncond_heldout0_stream0_016M-20240819-010518/tensorboard_logs,512499,487499,0.004884605176803,,0.0025507134761465,0.0075910931189774,0.1395671846132697,0.0075940556849109,0.0061871299630885,0.0075940401452238,0.0114847728941201,2.0088617763747813e-08,True,GPT2-B,0.016,True,1.000000002235174,0.5190499961376189,GPT2
GPT2_base_uncond_heldout0_stream0_16M,0.8362221539020538,,0.9,0.4653000026941299,10.901768207550049,0.4072500050067901,0.1442500025033951,0.5927500009536744,0.1619500011205673,5.702215239580255e-05,GPT2_base_RAVEN_uncond_heldout0_stream0_16M-20240819-032725/tensorboard_logs,429999,404999,0.0230410106496328,,0.0020801880356896,0.0066869123858986,0.1103919501666157,0.0070799012995037,0.0086289241344092,0.0070798996625116,0.005693319221242,9.263832435293528e-09,True,GPT2-B,0.16,True,1.0000000059604646,0.3062000036239624,GPT2
GPT2_base_uncond_heldout0_stream0_16M,0.436287248134613,1.0508310794830322,0.9050833284854888,0.5189833343029022,15.796246242523193,0.3927999943494796,0.1549500003457069,0.6072000026702881,0.233550001680851,1.0377037638065189e-07,GPT2_base_RAVEN_uncond_heldout0_stream0_16M-20240820-024013/tensorboard_logs,1000000,977499,0.0104391966896498,,0.0010722427983067,0.007249712776502,0.0243821354689713,0.0022997569105551,0.0077547444111953,0.0022997694375099,0.0093197822975669,5.6782573783190114e-08,True,GPT2-B,0.16,True,0.9999999970197677,0.3885000020265579,GPT2
GPT2_base_uncond_heldout0_stream16M,3.2142202854156494,3.2110743522644043,0.9648333370685578,0.3099500000476837,3.338735342025757,0.2068500012159347,0.1464499980211258,0.7931500017642975,0.0293500000610947,1.0377037638065189e-07,GPT2_base_RAVEN_uncond_heldout0_stream16M-20240820-024031/tensorboard_logs,1000000,977499,0.0814771027493384,,0.000781740015348,0.0044790684699702,0.0008159859837772,0.002517162602871,0.0071041842375598,0.0025171604323289,0.0028775953916701,5.6782573783190114e-08,True,GPT2-B,16.0,True,1.0000000029802323,0.1757999980822205,GPT2
GPT2_base_uncond_heldout0_stream16M,3.212418866157532,,0.9534666657447814,0.2952333331108093,3.2803740739822387,0.2181499987840652,0.1292000010609627,0.7818499982357026,0.0260500000789761,4.9086678336607294e-05,GPT2_base_RAVEN_uncond_heldout0_stream16M-20240819-010517/tensorboard_logs,509598,484999,0.0941820868069728,,0.0027708877533112,0.0144773523698466,0.0043228132421375,0.0083999007415027,0.0133649633066662,0.0083998994997493,0.0058615983689491,2.090456579553529e-08,True,GPT2-B,16.0,True,0.9999999970197677,0.15525000113993878,GPT2
GPT2_base_uncond_heldout0_stream1_6M,3.6331822872161865,,,,,,,,,9.983413328882307e-05,GPT2_base_RAVEN_uncond_heldout0_stream1_6M-20240818-012450/tensorboard_logs,1762,1753,0.0441653187870866,,,,,,,,,3.0307369485978657e-10,True,GPT2-B,1.6,True,,,GPT2
GPT2_base_uncond_heldout0_stream1_6M,3.1086382150650023,,0.939350003004074,0.4036166667938232,3.4020902156829838,0.2749500006437301,0.1945000007748603,0.7250500023365021,0.0683500010520219,4.9251775635639206e-05,GPT2_base_RAVEN_uncond_heldout0_stream1_6M-20240819-010517/tensorboard_logs,507684,484999,0.107328391451766,,0.0040760167633436,0.0080007867962316,0.0125784668193637,0.0106182507490739,0.0104642255637757,0.0106182512012808,0.005142686939453,8.928560745506877e-09,True,GPT2-B,1.6,True,1.000000002980232,0.2628500018268822,GPT2
GPT2_base_uncond_heldout0_stream1_6M,2.9348040580749517,3.115485668182373,0.9522500038146972,0.4429166615009308,3.751266026496887,0.2270999997854232,0.2288499996066093,0.77289999127388,0.1027499996125698,1.0377037638065189e-07,GPT2_base_RAVEN_uncond_heldout0_stream1_6M-20240820-023925/tensorboard_logs,1000000,977499,0.0727000651842546,,0.0010808368567577,0.0052453687119578,0.0038719138267343,0.0028848291223558,0.0057881564168142,0.0028848230387553,0.0081385576399698,5.6782573783190114e-08,True,GPT2-B,1.6,True,0.9999999910593032,0.3315999992191791,GPT2
GPT2_base_uncond_heldout0_stream1_6M,2.734135293960571,,0.9615666687488555,0.4492000013589859,4.132508230209351,0.2021000012755394,0.2159000009298324,0.7979000031948089,0.0947500005364418,5.727396710426546e-05,GPT2_base_RAVEN_uncond_heldout0_stream1_6M-20240818-014017/tensorboard_logs,427499,402499,0.0393237697965422,,0.0029050765964264,0.0053810370027979,0.0383091269922422,0.0062352047065646,0.0105982152522469,0.0062352055828613,0.0066049227883381,1.6335602229809687e-08,True,GPT2-B,1.6,True,1.0000000044703483,0.3106500014662742,GPT2
GPT2_base_uncond_heldout0_stream1_6M,4.229979705810547,,,,,,,,,9.998364839702845e-05,GPT2_base_RAVEN_uncond_heldout0_stream1_6M-20240818-013524/tensorboard_logs,267,258,0.0339136847192244,,,,,,,,,3.0280574059869597e-10,True,GPT2-B,1.6,True,,,GPT2
GPT2_medium_cond_all,0.4797102928161621,0.5051343560218811,0.9598666667938232,0.6747833311557769,13.235505771636962,0.1403500020503997,0.3175500005483627,0.8596500039100647,0.3338500052690506,4.8784440842553066e-08,GPT2_medium_RAVEN_cond_all-20240702-032839/tensorboard_logs,246899,90,0.0133457850162767,0.0178910093891426,0.0009189295572987,0.0061313030385777,0.2222357500327914,0.003837314440247,0.0096363064495689,0.0038373206534517,0.0069203811975953,2.7507086529238633e-08,False,GPT2-M,,False,1.0000000059604646,0.6514000058174133,GPT2
GPT2_medium_cond_all_stream16M,3.0599457740783693,3.1157567501068115,0.9761333346366884,0.3901999980211258,3.071870446205139,0.0848499998450279,0.2157000005245208,0.9151499927043916,0.0642500009387731,0.0,GPT2_medium_RAVEN_cond_all_stream16M-20240704-030228/tensorboard_logs,250000,227499,0.1156717984794318,,0.0011514875482782,0.0055964039951585,0.0002429664888756,0.0029064101201279,0.0108964840457016,0.0029064173833924,0.0046918970598246,0.0,False,GPT2-M,16.0,False,0.9999999925494195,0.2799500014632939,GPT2
GPT2_medium_cond_heldout0,0.4246505826711654,0.4496337205171585,0.9311666667461396,0.630950003862381,14.461341094970702,0.2589499980211258,0.3003499925136566,0.741049998998642,0.2891000002622604,3.361111047262e-08,GPT2_medium_RAVEN_cond_heldout0-20240701-231350/tensorboard_logs,216099,90,0.0097943795064526,0.0175197926347555,0.0015515978209618,0.0042149468314336,0.243764781549847,0.0040376657566166,0.0078882821635192,0.004037668257989,0.0076004331392162,2.6418382273194686e-08,True,GPT2-M,,False,0.9999999970197677,0.589449992775917,GPT2
GPT2_medium_uncond_all,0.6385925114154816,0.6558067321777343,0.9320833325386048,0.5110839813947677,13.079411029815674,0.2584000036120414,0.17744140625,0.7416000008583069,0.194921875,4.8784440842553066e-08,GPT2_medium_RAVEN_uncond_all-20240702-032428/tensorboard_logs,246899,90,0.0168745650715102,0.0195381589879815,0.0017360454429066,0.0099072950015334,0.2196337656747976,0.0050760905499861,0.0053498435372897,0.0050760899628895,0.0093180871598275,2.7507086529238633e-08,False,GPT2-M,,True,1.0000000044703483,0.37236328124999996,GPT2
GPT2_medium_uncond_all_stream16M,3.120969104766845,3.200251340866089,0.9768333315849304,0.3678833365440369,3.1395393133163454,0.0895999997854232,0.1514499992132187,0.91039999127388,0.0435000002384185,0.0,GPT2_medium_RAVEN_uncond_all_stream16M-20240704-025623/tensorboard_logs,250000,227499,0.1018939723746022,,0.0017708247598669,0.0095858875724495,0.0002810693395137,0.0049710268176964,0.0105262907510575,0.0049710257852111,0.0065404724445344,0.0,False,GPT2-M,16.0,True,0.9999999910593033,0.19494999945163718,GPT2
GPT2_medium_uncond_heldout0,0.5263526797294616,0.5462502598762512,0.910483342409134,0.5059244692325592,14.34271535873413,0.3761999934911728,0.178662109375,0.6237999975681305,0.188623046875,3.361111047262e-08,GPT2_medium_RAVEN_uncond_heldout0-20240701-133418/tensorboard_logs,216099,90,0.0145052225600566,0.0181075295501748,0.0012004423813027,0.0075660507208686,0.2420793904178135,0.003293089641966,0.0085614145152416,0.0032930950719607,0.0098521825877768,2.6418382273194686e-08,True,GPT2-M,,True,0.9999999910593034,0.36728515625,GPT2
GPT2_medium_uncond_heldout0_stream0_016M,0.1820425420999527,,0.8346000075340271,0.6592166721820831,18.311378479003903,0.8832000017166137,0.1351500011980533,0.1167999997735023,0.3406999975442886,7.402155315503479e-05,GPT2_medium_RAVEN_uncond_heldout0_stream0_016M-20240819-010618/tensorboard_logs,259999,234999,0.0070647238087039,,0.0022787261062085,0.0111676428398118,0.1965795685906372,0.004522789356541,0.0088727102837336,0.0045227807353874,0.013329580939893,1.0528568951838833e-08,True,GPT2-M,0.016,True,1.000000001490116,0.4758499987423419,GPT2
GPT2_medium_uncond_heldout0_stream0_016M,0.1742194816470146,0.2127833366394043,0.8233833372592926,0.7196833312511444,24.921097373962404,0.903299993276596,0.1745499983429908,0.0967000000178814,0.433799996972084,1.0377037638065189e-07,GPT2_medium_RAVEN_uncond_heldout0_stream0_016M-20240820-024735/tensorboard_logs,1000000,977499,0.0037749096711032,,0.0013901178872145,0.0063277009060475,0.0181556387862814,0.001702926434536,0.0098670324145414,0.001702939219556,0.0108402504474215,5.6782573783190114e-08,True,GPT2-M,0.016,True,0.9999999932944774,0.6083499953150748,GPT2
