run_name,Loss/train,Train/Avg_Loss,Val/AnyValid,Val/AnyValid_abinit,Val/Avg_Loss,Val/C2,Val/C2_abinit,Val/C3,Val/C3_abinit,lr,full_name,step,step/epoch,Loss/train_std,Train/Avg_Loss_std,Val/AnyValid_std,Val/AnyValid_abinit_std,Val/Avg_Loss_std,Val/C2_std,Val/C2_abinit_std,Val/C3_std,Val/C3_abinit_std,lr_std,joint_readout,embed_type,heldout,scale,dataset_size,uncond,Val/C23,Val/C23_abinit,readout_embed
GPT2CmbEmb_base_uncond_heldout0,1.5064847111701964,1.574004948139191,0.9118333399295808,0.439990234375,9.192906475067138,0.3750000029802322,0.136962890625,0.6250000059604645,0.13330078125,3.361111047262e-08,GPT2CmbEmb_base_RAVEN_uncond_heldout0-20240701-154321/tensorboard_logs,216099,90,0.0442447528065838,0.0175510179116499,0.0017032936230718,0.0071856917050658,0.1259236823594675,0.0045704355192612,0.0060779630045045,0.0045704391418608,0.0070533687109441,2.6418382273194686e-08,False,default,True,,,True,1.0000000089406966,0.270263671875,sep_emb-sep_lm
GPT2_base_cond_heldout0,1.2433221459388732,1.2816117763519288,0.934583342075348,0.5932833313941955,9.513285827636718,0.236099998652935,0.275900000333786,0.7638999998569489,0.2591500043869018,3.361111047262e-08,GPT2_base_RAVEN_cond_heldout0-20240701-225339/tensorboard_logs,216099,90,0.043741203938991,0.0187391037440735,0.0016466241503885,0.0047577505390843,0.129281452042557,0.0044522156005097,0.0072983992011029,0.0044522205837103,0.0095802147267787,2.6418382273194686e-08,False,default,True,GPT2-B,,False,0.9999999985098839,0.5350500047206878,sep_emb-sep_lm
GPT2_base_joint_lm_cmb_emb_uncond_heldout0_stream0_16M,0.2337694525718689,0.5602645874023438,0.8872500061988831,0.8885333240032196,7.806574201583862,0.4810000002384186,0.0707500003278255,0.5190000057220459,0.7963000059127807,1.0377037638065189e-07,GPT2_base_joint_lm_cmb_emb_RAVEN_uncond_heldout0_stream0_16M-20241120-200425/tensorboard_logs,1000000,977499,0.0048429599859211,,0.0008060293268059,0.0048175340257769,0.0026693010402882,0.0020548112491375,0.005959353189896,0.0020547975512244,0.0096384694882018,5.6782573783190114e-08,True,cmb,True,GPT2-B,0.16,True,1.0000000059604646,0.8670500062406062,cmb_emb-joint_lm
GPT2_base_joint_lm_joint_emb_uncond_heldout0_stream0_16M,0.2407019898295402,0.549686074256897,0.8632000029087067,0.8902499973773956,7.871315336227417,0.5839500010013581,0.082150000333786,0.416049998998642,0.7883000016212464,1.0377037638065189e-07,GPT2_base_joint_lm_joint_emb_RAVEN_uncond_heldout0_stream0_16M-20241120-200329/tensorboard_logs,1000000,977499,0.0052920477362968,,0.0008157346745307,0.0079513416359354,0.0041018303975847,0.001921369826401,0.00455856979438,0.0019213732732372,0.0119191760771259,5.6782573783190114e-08,True,joint,True,GPT2-B,0.16,True,1.0,0.8704500019550323,joint_emb-joint_lm
GPT2_base_joint_lm_sep_emb_uncond_heldout0_stream0_016M,0.1183188520371913,0.1416070461273193,0.8415833353996277,0.9993833243846894,11.34011001586914,0.8846000015735627,0.0007000000216066,0.1154000006616115,0.9982000112533568,1.0377037638065189e-07,GPT2_base_joint_lm_sep_emb_RAVEN_uncond_heldout0_stream0_016M-20241121-002559/tensorboard_logs,1000000,977499,0.0002425626763814,,0.0009337640112833,0.0002229078465857,0.0027301285497028,0.0011254683851649,0.0005374838561629,0.0011254619856634,0.0007888080385044,5.6782573783190114e-08,True,sep,True,GPT2-B,0.016,True,1.0000000022351743,0.9989000112749634,sep_emb-joint_lm
GPT2_base_joint_lm_sep_emb_uncond_heldout0_stream0_16M,0.2278115779161453,0.5342166423797607,0.8847666800022125,0.9026833355426788,7.886419200897217,0.4718000024557113,0.0593000005930662,0.5282000005245209,0.8303499937057495,1.0377037638065189e-07,GPT2_base_joint_lm_sep_emb_RAVEN_uncond_heldout0_stream0_16M-20241120-200339/tensorboard_logs,1000000,977499,0.0033528759849005,,0.0008613820378653,0.0051815446076702,0.003393373329507,0.0017981494574685,0.0053030384916491,0.0017981417230361,0.0080968132856646,5.6782573783190114e-08,True,sep,True,GPT2-B,0.16,True,1.000000002980232,0.8896499942988156,sep_emb-joint_lm
GPT2_base_joint_lm_sep_emb_uncond_heldout0_stream16M,2.104375755786896,2.1369316577911377,0.9734333336353302,0.9889833271503448,2.1534076929092407,0.1752499997615814,0.0303499998524785,0.8247500002384186,0.9661500036716462,1.0377037638065189e-07,GPT2_base_joint_lm_sep_emb_RAVEN_uncond_heldout0_stream16M-20241121-002522/tensorboard_logs,1000000,977499,0.1050516911772551,,0.0010369742939967,0.0011288834755363,0.0003908208314944,0.0041982119135389,0.0034484294018153,0.0041982018569161,0.0030555104159311,5.6782573783190114e-08,True,sep,True,GPT2-B,16.0,True,1.0,0.9965000035241247,sep_emb-joint_lm
GPT2_base_joint_lm_sep_emb_uncond_heldout0_stream1_6M,1.9521080017089845,2.080739498138428,0.9889333367347716,0.9846166670322418,2.3200677156448366,0.1249999992549419,0.0502000004053115,0.875,0.9462999939918518,1.0377037638065189e-07,GPT2_base_joint_lm_sep_emb_RAVEN_uncond_heldout0_stream1_6M-20241121-002546/tensorboard_logs,1000000,977499,0.0819789318256845,,0.0003162271859082,0.0018692651694165,0.0010590431446671,0.000623608836993,0.0075173870095082,0.000623612155812,0.0071887332385555,5.6782573783190114e-08,True,sep,True,GPT2-B,1.6,True,0.9999999992549419,0.9964999943971633,sep_emb-joint_lm
GPT2_base_uncond_heldout0,1.4052274823188782,1.4628806114196775,0.9099500060081482,0.4711914092302322,9.299380111694337,0.3730499982833862,0.14677734375,0.6269499897956848,0.17236328125,3.361111047262e-08,GPT2_base_RAVEN_uncond_heldout0-20240630-023945/tensorboard_logs,216099,90,0.0979623152969137,0.0183741546756293,0.0012620994658581,0.0092775026556326,0.1248327303713386,0.0043490138451337,0.007031551401719,0.0043490110279364,0.0042066562445703,2.6418382273194686e-08,False,default,True,GPT2-B,,True,0.9999999880790711,0.319140625,sep_emb-sep_lm
GPT2_base_uncond_heldout0_stream0_016M,0.1745833471417427,,0.8346666634082794,0.6960666656494141,21.74295997619629,0.8801500022411346,0.1433499991893768,0.1198499999940395,0.3756999969482422,4.878183790424373e-05,GPT2_base_RAVEN_uncond_heldout0_stream0_016M-20240819-010518/tensorboard_logs,512499,487499,0.004884605176803,,0.0025507134761465,0.0075910931189774,0.1395671846132697,0.0075940556849109,0.0061871299630885,0.0075940401452238,0.0114847728941201,2.0088617763747813e-08,False,default,True,GPT2-B,0.016,True,1.000000002235174,0.5190499961376189,sep_emb-sep_lm
