run_name,Loss/train,Train/Avg_Loss,Val/AnyValid,Val/AnyValid_abinit,Val/Avg_Loss,Val/C2,Val/C2_abinit,Val/C3,Val/C3_abinit,lr,full_name,step,step/epoch
GPT2_medium_joint_lm_sep_emb_uncond_heldout0_stream1_6M,1.6587547063827515,1.970312237739563,0.984499990940094,0.9896666407585144,2.5991051197052,0.125,0.02449999935925007,0.875,0.9704999923706055,0.0,GPT2_medium_joint_lm_sep_emb_RAVEN_uncond_heldout0_stream1_6M-20241122-165756/tensorboard_logs,1000000,999999
GPT2_base_joint_lm_cmb_emb_uncond_heldout0_stream0_16M,0.23541311919689178,0.5602645874023438,0.887499988079071,0.8924999833106995,7.809951305389404,0.4779999852180481,0.06700000166893005,0.5220000147819519,0.8040000200271606,0.0,GPT2_base_joint_lm_cmb_emb_RAVEN_uncond_heldout0_stream0_16M-20241120-200425/tensorboard_logs,1000000,999999
GPT2_base_joint_lm_sep_emb_uncond_heldout0_stream16M,2.2669036388397217,2.1369316577911377,0.9735000133514404,0.9894999861717224,2.152902364730835,0.1745000034570694,0.02800000086426735,0.8255000114440918,0.968500018119812,0.0,GPT2_base_joint_lm_sep_emb_RAVEN_uncond_heldout0_stream16M-20241121-002522/tensorboard_logs,1000000,999999
GPT2_base_uncond_heldout0_stream0_16M,0.8138569593429565,,0.8964999914169312,0.47049999237060547,11.020782470703125,0.4235000014305115,0.13750000298023224,0.5764999985694885,0.16449999809265137,5.700570181943476e-05,GPT2_base_RAVEN_uncond_heldout0_stream0_16M-20240819-032725/tensorboard_logs,429999,427499
GPT2_medium_uncond_heldout0_stream1_6M,2.640718936920166,2.964223623275757,0.9681666493415833,0.45783331990242004,4.665191173553467,0.17149999737739563,0.2720000147819519,0.828499972820282,0.1080000028014183,0.0,GPT2_medium_RAVEN_uncond_heldout0_stream1_6M-20240820-023917/tensorboard_logs,1000000,999999
GPT2_base_joint_lm_sep_emb_uncond_heldout0_stream0_016M,0.11811169236898422,0.14160704612731934,0.8410000205039978,0.999666690826416,11.342348098754883,0.8855000138282776,0.0005000000237487257,0.1145000010728836,0.9990000128746033,0.0,GPT2_base_joint_lm_sep_emb_RAVEN_uncond_heldout0_stream0_016M-20241121-002559/tensorboard_logs,1000000,999999
GPT2_medium_uncond_all,0.6382582187652588,0.6311153173446655,0.9313333630561829,0.5029296875,13.334392547607422,0.2565000057220459,0.17431640625,0.7434999942779541,0.19677734375,0.0,GPT2_medium_RAVEN_uncond_all-20240702-032428/tensorboard_logs,246899,99
GPT2CmbEmb_base_uncond_heldout0,1.481049656867981,1.5516153573989868,0.909166693687439,0.4357096254825592,9.333218574523926,0.38100001215934753,0.1298828125,0.6190000176429749,0.1318359375,0.0,GPT2CmbEmb_base_RAVEN_uncond_heldout0-20240701-154321/tensorboard_logs,216099,99
GPT2_medium_uncond_heldout0,0.5245529413223267,0.5233154296875,0.9125000238418579,0.5042317509651184,14.620523452758789,0.3709999918937683,0.17724609375,0.6290000081062317,0.1904296875,0.0,GPT2_medium_RAVEN_uncond_heldout0-20240701-133418/tensorboard_logs,216099,99
GPT2_base_uncond_heldout0_stream1_6M,3.124039649963379,,0.9398333430290222,0.4104999899864197,3.4196202754974365,0.27900001406669617,0.20900000631809235,0.7210000157356262,0.06949999928474426,4.923652522847988e-05,GPT2_base_RAVEN_uncond_heldout0_stream1_6M-20240819-010517/tensorboard_logs,507684,507499
GPT2_small_joint_lm_sep_emb_uncond_heldout0_stream1_6M,2.237673282623291,2.1340854167938232,0.9573333263397217,0.9851666688919067,2.1784865856170654,0.19900000095367432,0.0494999997317791,0.8009999990463257,0.9495000243186951,0.0,GPT2_small_joint_lm_sep_emb_RAVEN_uncond_heldout0_stream1_6M-20241121-140306/tensorboard_logs,1000000,999999
GPT2_small_uncond_heldout0_stream0_16M,1.903040885925293,2.312938690185547,0.9113333225250244,0.4449999928474426,7.219539642333984,0.3619999885559082,0.1445000022649765,0.6380000114440918,0.13650000095367432,0.0,GPT2_small_RAVEN_uncond_heldout0_stream0_16M-20240820-024128/tensorboard_logs,1000000,999999
