run_name,Rules/anyvalid,Rules/c2,Rules/c3,full_name,step,step/epoch,model_class,dataset_size,heldout,Rules/c23,scale,c3_CI_L,c3_CI_H,c23_CI_L,c23_CI_H,c2_CI_L,c2_CI_H,valid_CI_L,valid_CI_H,expname,mem_samplefrac,mem_rowfrac,mem_panfrac,mem_attr0_rowfrac,mem_attr0_panfrac,mem_attr1_rowfrac,mem_attr1_panfrac,mem_attr2_rowfrac,mem_attr2_panfrac
BaseBlnrX3_new_stream0_16M,0.6419596433639526,0.234912109375,0.23251953125,BaseBlnrX3_new_stream0_16M_RAVEN10_abstract_20240921-2218/tensorboard_logs,999999,977500,EDM,0.16,False,0.467431640625,EDMx1,0.2267578125,0.238330078125,0.460595703125,0.474267578125,0.2291015625,0.24072265625,0.6381673177083333,0.645751953125,BaseBlnrX3_new_stream0_16M_RAVEN10_abstract_20240921-2218,0.0,0.0,0.35891927083333336,0.003955078124999971,0.7528157552083334,0.0008951822916666499,0.7598470052083334,0.0007161458333333201,0.737109375
BigBlnrX3_new_stream0_16M,0.7229492127895355,0.222705078125,0.458154296875,BigBlnrX3_new_stream0_16M_RAVEN10_abstract_20240828-1332/tensorboard_logs,999999,977500,EDM,0.16,False,0.680859375,EDMx3,0.451318359375,0.464990234375,0.674462890625,0.687255859375,0.217041015625,0.22841796875,0.7194010416666666,0.7264811197916666,BigBlnrX3_new_stream0_16M_RAVEN10_abstract_20240828-1332,0.0,0.0,0.37314453125,0.007503255208333301,0.759206814236111,0.00162760416666662,0.7580946180555556,0.00146484374999997,0.7526475694444444
WideBlnrX3_new_stream0_16M,0.7359700560569763,0.21005859375,0.480224609375,WideBlnrX3_new_stream0_16M_RAVEN10_abstract_20240705-1908/tensorboard_logs,999999,977500,EDM,0.16,False,0.690283203125,EDMx2,0.473388671875,0.487060546875,0.683935546875,0.696630859375,0.2044921875,0.215673828125,0.7324869791666667,0.739453125,WideBlnrX3_new_stream0_16M_RAVEN10_abstract_20240705-1908,0.0,0.0,0.37216796875,0.006868489583333311,0.758816189236111,0.0015299479166666302,0.7575086805555556,0.00157877604166663,0.7576117621527777
085-uncond-DiT_S_1-stream0_16M,0.7538736939430237,0.12294921875,0.6029296875,085-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_20240711-0204/tensorboard_logs,1000000,977500,DiT,0.16,False,0.72587890625,DiT-S/1,0.596240234375,0.609619140625,0.719775390625,0.731982421875,0.11845703125,0.12744140625,0.7504557291666667,0.757275390625,085-RAVEN10_abstract-uncond-DiT_S_1-stream0_16M_20240711-0204,0.0,0.0,0.35058051215277775,0.007763671874999991,0.7408908420138889,0.0017415364583333003,0.7423882378472222,0.0019368489583332905,0.7347330729166667
096-uncond-DiT_B_1-stream0_16M,0.7647786378860474,0.131591796875,0.611181640625,096-RAVEN10_abstract-uncond-DiT_B_1-stream0_16M_20240711-0205/tensorboard_logs,1000000,977500,DiT,0.16,False,0.7427734375,DiT-B/1,0.6044921875,0.61787109375,0.736767578125,0.74873046875,0.127001953125,0.13623046875,0.76142578125,0.7681315104166667,096-RAVEN10_abstract-uncond-DiT_B_1-stream0_16M_20240711-0205,0.0,0.0,0.34343532986111114,0.00854492187499997,0.7410264756944444,0.0019205729166666397,0.7343044704861111,0.0016601562499999798,0.7303439670138889
007-SiT_S_1-stream0_16M_all-Linear-velocity-None,0.8463053405284882,0.12080078125,0.72216796875,007-SiT_S_1-stream0_16M_all-Linear-velocity-None/tensorboard_logs,1000000,977500,SiT,0.16,False,0.84296875,SiT-S/1,0.716015625,0.728271484375,0.83798828125,0.84794921875,0.116357421875,0.12529296875,0.8434407552083333,0.8491536458333333,007-SiT_S_1-stream0_16M_all-Linear-velocity-None,0.0,0.0,0.3797797309027777,0.01144205729166663,0.7658745659722221,0.0019531249999999798,0.7606608072916667,0.0014973958333333102,0.7582411024305555
020-SiT_B_1-stream0_16M_all-Linear-velocity-None,0.7918782532215118,0.157568359375,0.610546875,020-SiT_B_1-stream0_16M_all-Linear-velocity-None/tensorboard_logs,1000000,977500,SiT,0.16,False,0.7681152343750001,SiT-B/1,0.603857421875,0.617236328125,0.7623046875,0.773876953125,0.152587890625,0.16259765625,0.7886555989583334,0.7950846354166666,020-SiT_B_1-stream0_16M_all-Linear-velocity-None,0.0,0.0,0.3732259114583334,0.01074218749999997,0.7630859375000001,0.00146484374999997,0.7557454427083333,0.00182291666666663,0.7550564236111111
