,iclass,idxs,x_pos,y_pos,consistent_r3,batch_size,rule_uniq,rule_cnts
46,0,"[8135, 5983, 5079]",1,2,79,100,[ 0. 25. 32. 21. 11. 16. 37.  6.],[79 25 14  9  8  2  1  1]
47,0,"[8135, 5983, 5079]",2,2,0,100,[ 6. 19.],[6 2]
48,0,"[6646, 9544, 8610]",0,2,56,100,[ 0. 35. 34.  5. 16.],[56 13 13 11  6]
49,0,"[6646, 9544, 8610]",1,2,84,100,[ 0. 16. 36.  6.],[84 16  6  3]
50,0,"[6646, 9544, 8610]",2,2,0,100,[ 6. 32. 29.],[12  6  1]
51,0,"[0, 1477, 10294]",0,2,0,100,[15. 11. 36. 16.  6. 39.],[26 11  4  3  3  1]
52,0,"[0, 1477, 10294]",1,2,0,100,[15. 10. 26. 35. 16. 34.  6.],[42 12  8  7  7  6  2]
53,0,"[0, 1477, 10294]",2,2,71,100,[ 0. 26. 16. 36. 35. 31. 38.  6.],[71 40 11 10 10  7  1  1]
54,0,"[11645, 10781, 7647]",0,2,52,100,[ 0. 25. 23. 12. 36.  6. 16. 39. 38.],[52 12  9  9  6  5  4  2  1]
55,0,"[11645, 10781, 7647]",1,2,0,100,[25. 15. 35. 16.  6. 21. 36. 26.],[49 31 15  9  6  3  2  2]
56,0,"[11645, 10781, 7647]",2,2,55,100,[ 0. 15. 11. 20. 34. 16.  6. 26. 25.],[55 27 10  9  8  5  5  4  4]
57,0,"[5290, 7781, 3940]",0,2,48,100,[ 0. 30.  5. 26. 16. 12. 15.],[48  8  8  4  4  3  1]
58,0,"[5290, 7781, 3940]",1,2,55,100,[ 0. 26.  5.  6.],[55 36 21  2]
59,0,"[5290, 7781, 3940]",2,2,71,100,[ 0. 35. 30.  6. 15. 25. 39. 24.],[71 11  7  7  6  5  4  4]
60,0,"[2512, 9538, 8671]",0,2,0,100,[15. 10. 16.  6. 36.],[28 12  9  9  6]
61,0,"[2512, 9538, 8671]",1,2,80,100,[ 0. 13. 26.],[80 44 16]
62,0,"[2512, 9538, 8671]",2,2,76,100,[ 0. 32.  5. 20. 25. 38. 26.],[76 18 14  7  4  1  1]
63,0,"[11957, 7754, 10528]",0,2,54,100,[ 0. 21. 26. 16. 12. 37. 35. 34.  6.],[54 13 11 11  4  2  2  2  1]
64,0,"[11957, 7754, 10528]",1,2,43,100,[16.  0. 35. 26. 21.  5. 36. 38.],[45 43 21  8  8  5  4  1]
65,0,"[11957, 7754, 10528]",2,2,68,100,[ 0.  6. 37.],[68  6  1]
66,0,"[11485, 2043, 7721]",0,2,59,100,[ 0. 23.  6. 36. 31.],[59  6  6  4  3]
67,0,"[11485, 2043, 7721]",1,2,54,100,[ 0. 15.  5. 23. 36. 25. 35.  6.],[54 50 28 13 10 10  5  1]
68,0,"[11485, 2043, 7721]",2,2,0,100,[30. 22. 26.  6. 19.],[9 9 7 3 1]
69,0,"[10110, 4557, 5920]",0,2,0,100,[19. 37.  6.],[2 1 1]
70,0,"[10110, 4557, 5920]",1,2,48,100,[ 0.  5. 35. 36.],[48  9  5  2]
71,0,"[10110, 4557, 5920]",2,2,0,100,[10. 16. 29. 30. 38.  6.],[13  4  3  2  1  1]
72,0,"[4861, 6125, 7275]",0,2,0,100,[25. 23.  6. 36. 32.],[12 11  6  2  2]
73,0,"[4861, 6125, 7275]",1,2,71,100,[ 0. 26.],[71  3]
74,0,"[4861, 6125, 7275]",2,2,0,100,[26.  6.],[15  2]
75,0,"[1922, 465, 10009]",0,2,44,100,[ 0.  5. 35. 26. 16. 12.  6.],[44 30 17 10 10  4  3]
76,0,"[1922, 465, 10009]",1,2,35,100,[ 0. 26. 19.  6. 39.],[35 22  9  8  1]
77,0,"[1922, 465, 10009]",2,2,47,100,[ 0. 21. 26.  5.  6. 19. 36.],[47 16  7  5  3  2  1]
78,0,"[5721, 6042, 4096]",0,2,49,100,[ 0. 25. 35.  5. 12. 36. 32. 16.  6.],[49 36 13 12 11  7  5  5  1]
79,0,"[5721, 6042, 4096]",1,2,0,100,[22. 36. 31. 26.  6. 37.],[29  7  7  6  4  1]
80,0,"[5721, 6042, 4096]",2,2,68,100,[ 0. 25.  5. 32. 21. 26. 36. 39. 38.  6.],[68 34 17 12  4  3  2  1  1  1]
81,0,"[11528, 6874, 5342]",0,2,0,100,[16.  6.],[11  9]
82,0,"[11528, 6874, 5342]",1,2,0,100,[24. 36. 31. 15. 16. 10.],[9 5 5 5 4 2]
83,0,"[11528, 6874, 5342]",2,2,59,100,[ 0. 36.  5.],[59 16  9]
84,0,"[3190, 6195, 4044]",0,2,69,100,[ 0. 23. 34. 35.],[69 36  7  1]
85,0,"[3190, 6195, 4044]",1,2,65,100,[ 0.  5. 35. 16. 26. 37.],[65 22 15  9  3  1]
86,0,"[3190, 6195, 4044]",2,2,0,100,[ 6. 14. 30. 38. 29. 15.],[11  5  3  1  1  1]
87,0,"[11140, 3098, 878]",0,2,0,100,[33. 14.  6. 15. 39.],[26  8  6  2  1]
88,0,"[11140, 3098, 878]",1,2,40,100,[20.  0.  5. 12. 16. 26. 35. 36.],[45 40 26 11 10  8  6  1]
89,0,"[11140, 3098, 878]",2,2,71,100,[ 0. 26.  6. 30.],[71 12  3  2]
90,0,"[11213, 5432, 9338]",0,2,45,100,[ 0. 23.  5. 16. 35. 12.  6.],[45 42 13  9  7  7  1]
91,0,"[11213, 5432, 9338]",1,2,57,100,[ 0.  5. 32.  6. 39. 19. 17.],[57 23  4  4  2  2  1]
92,0,"[11213, 5432, 9338]",2,2,66,100,[ 0. 22. 26.  6. 16. 11. 36. 39. 37.],[66 13 10  8  5  4  3  1  1]
93,0,"[10013, 11143, 634]",0,2,0,100,[36. 11. 26.  6. 16.],[7 6 3 3 1]
94,0,"[10013, 11143, 634]",1,2,0,100,[11.  6. 36. 35. 16.],[9 6 2 2 2]
95,0,"[10013, 11143, 634]",2,2,47,100,[ 0. 15. 10. 36. 26. 16.  5.  6.],[47 40 15 10 10  4  4  3]
96,0,"[4923, 9419, 8714]",0,2,49,100,[ 0.  6. 26. 21. 39.],[49  7  3  2  1]
97,0,"[4923, 9419, 8714]",1,2,83,100,[ 0. 15. 12. 25. 24. 16.  6. 39. 38.],[83 13  5  3  3  3  3  2  1]
98,0,"[4923, 9419, 8714]",2,2,52,100,[ 0. 33.  5. 38.],[52 11  8  1]
99,0,"[5736, 1233, 1549]",0,2,0,100,[29. 15. 33. 37.],[6 5 4 3]
100,0,"[5736, 1233, 1549]",1,2,73,100,[ 0.  5. 36. 31.  6. 38. 19.],[73 15  4  2  2  1  1]
101,0,"[5736, 1233, 1549]",2,2,0,100,[15. 11.  6. 29. 16.],[34  4  3  1  1]
102,0,"[6877, 3796, 7625]",0,2,68,100,[ 0. 25. 13. 36. 20. 26.  6.],[68 45 45  7  7  6  4]
103,0,"[6877, 3796, 7625]",1,2,42,100,[ 0. 14. 20. 15. 26.  5.  6.],[42 19 10  9  4  3  1]
104,0,"[6877, 3796, 7625]",2,2,0,100,[26. 20. 36. 15. 35.  6.],[9 7 6 5 4 4]
105,0,"[5105, 8816, 9351]",0,2,66,100,[ 0. 21. 12. 16.  6. 26. 37. 36.],[66 17  9  7  5  2  1  1]
106,0,"[5105, 8816, 9351]",1,2,59,100,[ 0.  6. 35. 30. 24. 25.],[59 11  9  8  3  2]
107,0,"[5105, 8816, 9351]",2,2,0,100,[36.  6. 26. 16.],[12 11 10  3]
108,0,"[7207, 2177, 3041]",0,2,0,100,[16. 22.  6. 25. 26. 36. 37.],[16 13  8  7  5  3  1]
109,0,"[7207, 2177, 3041]",1,2,71,100,[ 0. 22.  5. 26. 38. 30.],[71 10  6  3  2  1]
110,0,"[7207, 2177, 3041]",2,2,0,100,[26. 35. 39. 36.  6.],[7 2 1 1 1]
111,0,"[988, 6934, 2166]",0,2,76,100,[ 0.  6. 19. 37.],[76  5  3  1]
112,0,"[988, 6934, 2166]",1,2,0,100,[15. 10. 32. 16.],[27 10  6  3]
113,0,"[988, 6934, 2166]",2,2,0,100,[12. 16. 39. 36.  6.],[11  6  1  1  1]
114,0,"[9259, 5647, 388]",0,2,69,100,[ 0. 30. 39.],[69 16  1]
115,0,"[9259, 5647, 388]",1,2,0,100,[ 6. 32.],[16  1]
116,0,"[9259, 5647, 388]",2,2,76,100,[ 0. 26. 35. 16.],[76 42  2  2]
117,0,"[6182, 2190, 10558]",0,2,65,100,[ 0. 35. 36. 16. 15. 31. 24. 25.],[65 20 14 14  8  7  6  1]
118,0,"[6182, 2190, 10558]",1,2,0,100,[25.  6. 26. 36.],[34 10  9  1]
119,0,"[6182, 2190, 10558]",2,2,0,100,[ 6. 21. 26.],[9 7 3]
120,0,"[1493, 924, 4115]",0,2,73,100,[ 0. 16.  6.],[73  3  1]
121,0,"[1493, 924, 4115]",1,2,0,100,[ 6. 26.],[5 3]
